CUST_ID,clusterId,pca1,pca2,segmentLabel,modelVersion
C10001,0,-1.6836487915335956,-1.0722414849702844,Devedor Rotativo,v1
C10002,1,-1.1340849338928762,2.509149806907925,Comprador Ativo,v1
C10003,2,0.9693949881955962,-0.3835769025902041,Bom Pagador,v1
C10004,0,-0.8882203933584529,0.004648422505489338,Devedor Rotativo,v1
C10005,0,-1.6000209527055858,-0.6837952385254041,Devedor Rotativo,v1
C10006,0,0.25296133640780766,-0.776378113814659,Devedor Rotativo,v1
C10007,2,6.350168698529909,-0.704560166573683,Bom Pagador,v1
C10008,0,0.27608023289726674,-1.2881453645406122,Devedor Rotativo,v1
C10009,0,-0.4421697284385729,-0.4594962408531712,Devedor Rotativo,v1
C10010,0,-0.5638290416090281,-0.36672094793050414,Devedor Rotativo,v1
C10011,0,0.5412243386462235,-1.3094738444543954,Devedor Rotativo,v1
C10012,0,-0.6860707804980896,-0.7836631362346033,Devedor Rotativo,v1
C10013,0,1.978545347749324,-1.3236240584287358,Devedor Rotativo,v1
C10014,0,1.5592611874235134,-0.8806174603109705,Devedor Rotativo,v1
C10015,0,-1.5865046128853821,0.23823479574699466,Devedor Rotativo,v1
C10016,0,0.7952326246689927,1.8483049587987788,Devedor Rotativo,v1
C10017,1,-2.0958081864395743,0.9594123107442585,Comprador Ativo,v1
C10018,0,-0.9590851980608438,-1.5757743967185451,Devedor Rotativo,v1
C10019,0,0.5009050066538859,-0.09518659540234779,Devedor Rotativo,v1
C10020,2,0.797802684670768,0.061680036205844384,Bom Pagador,v1
C10021,0,-0.12716607339797545,-0.054053626374391005,Devedor Rotativo,v1
C10022,2,5.528002479957901,1.7343578704202807,Bom Pagador,v1
C10023,0,0.41506038605747597,-1.7388763867301764,Devedor Rotativo,v1
C10024,1,2.8075028959807513,3.694182760548336,Comprador Ativo,v1
C10025,1,-1.420751214711538,1.9315859216501023,Comprador Ativo,v1
C10026,0,0.16263382463230214,-1.631002526221588,Devedor Rotativo,v1
C10027,0,-1.4420878020444885,0.43542777309663894,Devedor Rotativo,v1
C10028,0,-0.05063148606448332,-1.7705273031474398,Devedor Rotativo,v1
C10029,1,-0.005996130748912195,4.131105025478637,Comprador Ativo,v1
C10030,0,-0.7716181604000294,-0.8628181368044056,Devedor Rotativo,v1
C10031,1,3.7644917021812145,4.293989060545954,Comprador Ativo,v1
C10032,0,1.40932538993778,-0.6867292166929508,Devedor Rotativo,v1
C10033,0,-0.5644573526646814,2.1393114843229784,Devedor Rotativo,v1
